school,pupil,lang_score,ses,IQ_verb,sex,Minority,sch_ses,sch_iqv,sch_min
3,39,33,-5.73,-2.37,0,0,1.162,-0.3668,0
3,40,41,9.27,-0.87,0,0,1.162,-0.3668,0
3,41,41,-1.73,-0.37,1,0,1.162,-0.3668,0
3,42,39,-7.73,-1.37,1,0,1.162,-0.3668,0
3,43,52,12.27,1.13,1,0,1.162,-0.3668,0
9,92,34,-6.73,-0.87,0,0,3.182,0.9059,0
9,93,34,5.27,1.63,0,0,3.182,0.9059,0
9,94,43,-2.73,-0.87,0,0,3.182,0.9059,0
9,95,40,0.27,1.13,1,0,3.182,0.9059,0
9,96,48,13.27,0.63,0,0,3.182,0.9059,0
9,97,46,-4.73,1.13,0,0,3.182,0.9059,0
9,98,45,4.27,-1.37,0,0,3.182,0.9059,0
9,99,55,15.27,2.13,0,0,3.182,0.9059,0
9,100,53,12.27,1.63,1,0,3.182,0.9059,0
9,101,46,-7.73,2.63,0,0,3.182,0.9059,0
9,102,56,6.27,2.13,0,0,3.182,0.9059,0
10,109,28,-12.73,-1.37,0,0,-8.127,-1.3668,0
10,110,33,-7.73,-1.37,0,0,-8.127,-1.3668,0
10,111,38,-7.73,0.63,1,0,-8.127,-1.3668,0
10,112,14,-17.73,-3.87,1,0,-8.127,-1.3668,0
10,113,39,5.27,-0.87,1,0,-8.127,-1.3668,0
12,144,39,-4.73,-0.37,1,0,2.037,-2.3374,0
12,146,23,-0.73,-2.37,0,0,2.037,-2.3374,0
12,147,43,5.27,-1.37,1,0,2.037,-2.3374,0
12,148,25,5.27,-3.37,1,0,2.037,-2.3374,0
12,149,24,0.27,-4.37,1,0,2.037,-2.3374,0
12,150,41,9.27,-0.87,1,0,2.037,-2.3374,0
12,151,32,2.27,-1.37,0,0,2.037,-2.3374,0
12,152,26,-7.73,-1.37,0,0,2.037,-2.3374,0
12,153,21,12.27,-2.37,0,0,2.037,-2.3374,0
12,154,37,-7.73,-1.87,0,0,2.037,-2.3374,0
12,155,30,-10.73,-0.37,1,0,2.037,-2.3374,0
12,156,41,-7.73,-2.37,1,0,2.037,-2.3374,0
12,157,31,22.27,-2.87,1,0,2.037,-2.3374,0
12,158,27,-7.73,-3.87,1,0,2.037,-2.3374,0
12,159,33,-0.73,-4.37,1,0,2.037,-2.3374,0
12,160,29,12.27,-3.37,1,0,2.037,-2.3374,0
13,161,42,-4.73,0.13,1,0,5.701,2.0617,0
13,162,37,3.27,-0.37,0,0,5.701,2.0617,0
13,163,49,19.27,5.13,1,0,5.701,2.0617,0
13,164,39,-3.73,1.13,0,0,5.701,2.0617,0
13,165,32,-7.73,-0.37,1,0,5.701,2.0617,0
13,166,50,10.27,3.63,1,0,5.701,2.0617,0
13,167,45,9.27,2.63,0,0,5.701,2.0617,0
13,168,43,0.27,4.13,0,0,5.701,2.0617,0
13,169,54,-3.73,2.63,1,0,5.701,2.0617,0
13,170,50,10.27,0.13,1,0,5.701,2.0617,0
13,171,47,16.27,1.13,0,0,5.701,2.0617,0
13,172,52,2.27,0.13,0,0,5.701,2.0617,0
13,173,51,16.27,5.13,1,0,5.701,2.0617,0
13,174,54,12.27,3.63,1,0,5.701,2.0617,0
14,175,43,8.27,0.63,1,0,8.881,1.1549,0.087
14,177,22,-15.73,-0.37,0,1,8.881,1.1549,0.087
14,178,26,2.27,2.13,1,0,8.881,1.1549,0.087
14,179,38,13.27,0.13,0,0,8.881,1.1549,0.087
14,180,32,17.27,-2.37,0,1,8.881,1.1549,0.087
14,181,40,0.27,2.13,1,0,8.881,1.1549,0.087
14,182,38,13.27,1.13,1,0,8.881,1.1549,0.087
14,183,35,13.27,1.13,0,0,8.881,1.1549,0.087
14,184,32,8.27,0.13,1,0,8.881,1.1549,0.087
14,185,35,0.27,0.13,1,0,8.881,1.1549,0.087
14,186,37,13.27,0.63,1,0,8.881,1.1549,0.087
14,187,31,4.27,0.63,1,0,8.881,1.1549,0.087
14,188,27,8.27,-1.37,0,0,8.881,1.1549,0.087
14,189,37,8.27,0.63,0,0,8.881,1.1549,0.087
14,190,51,13.27,1.63,1,0,8.881,1.1549,0.087
14,191,42,13.27,1.13,0,0,8.881,1.1549,0.087
14,192,45,13.27,5.13,0,0,8.881,1.1549,0.087
14,193,36,13.27,2.13,0,0,8.881,1.1549,0.087
14,194,54,13.27,4.13,1,0,8.881,1.1549,0.087
14,195,42,21.27,1.13,1,0,8.881,1.1549,0.087
14,197,43,13.27,5.13,0,0,8.881,1.1549,0.087
15,199,31,12.27,2.13,0,0,0.398,-0.7002,0
15,200,18,-7.73,-3.37,0,0,0.398,-0.7002,0
15,201,37,12.27,1.13,0,0,0.398,-0.7002,0
15,202,22,-2.73,-1.37,1,0,0.398,-0.7002,0
15,203,43,-7.73,3.13,1,0,0.398,-0.7002,0
15,204,9,2.27,-2.87,1,0,0.398,-0.7002,0
15,205,41,2.27,-1.87,0,0,0.398,-0.7002,0
15,206,46,-7.73,0.13,0,0,0.398,-0.7002,0
16,208,34,-4.73,-0.87,0,0,1.828,-0.0891,0
16,209,47,5.27,-0.87,1,0,1.828,-0.0891,0
16,210,44,-0.73,0.63,0,0,1.828,-0.0891,0
16,211,50,-0.73,1.13,0,0,1.828,-0.0891,0
16,212,45,-4.73,0.63,0,0,1.828,-0.0891,0
16,213,43,2.27,-0.87,1,0,1.828,-0.0891,0
16,214,34,7.27,-0.37,0,0,1.828,-0.0891,0
16,215,35,9.27,-0.87,0,0,1.828,-0.0891,0
18,217,22,-4.73,-2.37,0,0,4.233,-0.1668,0
18,218,27,-12.73,-2.37,1,0,4.233,-0.1668,0
18,219,45,22.27,3.13,1,0,4.233,-0.1668,0
18,220,45,-0.73,-0.37,1,0,4.233,-0.1668,0
18,221,38,7.27,1.13,0,0,4.233,-0.1668,0
18,222,24,5.27,-1.37,0,0,4.233,-0.1668,0
18,223,50,-2.73,1.13,1,0,4.233,-0.1668,0
18,224,22,-7.73,-0.87,0,0,4.233,-0.1668,0
18,225,43,2.27,2.13,0,0,4.233,-0.1668,0
18,226,28,0.27,1.63,0,0,4.233,-0.1668,0
18,227,38,5.27,-1.37,0,0,4.233,-0.1668,0
18,228,20,-2.73,-2.37,0,0,4.233,-0.1668,0
18,229,40,5.27,3.63,0,0,4.233,-0.1668,0
18,230,47,22.27,0.13,0,0,4.233,-0.1668,0
18,231,20,-12.73,-0.87,0,0,4.233,-0.1668,0
18,232,28,-2.73,-0.87,1,0,4.233,-0.1668,0
18,233,33,22.27,1.13,0,0,4.233,-0.1668,0
18,234,21,2.27,-0.37,0,0,4.233,-0.1668,0
18,235,44,10.27,0.63,1,0,4.233,-0.1668,0
18,236,43,-7.73,0.13,0,0,4.233,-0.1668,0
18,237,18,7.27,-1.87,0,0,4.233,-0.1668,0
18,238,31,22.27,-1.37,1,0,4.233,-0.1668,0
18,239,21,7.27,-0.37,1,0,4.233,-0.1668,0
18,240,41,7.27,-0.87,0,0,4.233,-0.1668,0
19,241,33,17.27,-2.87,0,0,6.091,0.1977,0.03
19,242,30,-7.73,-2.87,1,0,6.091,0.1977,0.03
19,243,30,13.27,-0.87,0,0,6.091,0.1977,0.03
19,244,37,-7.73,0.13,0,0,6.091,0.1977,0.03
19,245,37,-10.73,-1.87,1,0,6.091,0.1977,0.03
19,246,35,6.27,-1.87,1,0,6.091,0.1977,0.03
19,247,43,-10.73,1.13,0,0,6.091,0.1977,0.03
19,248,36,3.27,-0.37,1,0,6.091,0.1977,0.03
19,249,41,9.27,0.13,1,0,6.091,0.1977,0.03
19,250,32,11.27,0.13,1,0,6.091,0.1977,0.03
19,251,11,4.27,-0.37,0,0,6.091,0.1977,0.03
19,252,34,17.27,-1.87,1,0,6.091,0.1977,0.03
19,253,35,4.27,0.63,0,0,6.091,0.1977,0.03
19,254,40,-0.73,-0.87,1,0,6.091,0.1977,0.03
19,255,29,-1.73,-0.37,1,0,6.091,0.1977,0.03
19,256,30,2.27,0.63,1,0,6.091,0.1977,0.03
19,257,42,12.27,-0.87,1,0,6.091,0.1977,0.03
19,258,40,2.27,4.63,0,0,6.091,0.1977,0.03
19,259,32,-3.73,-0.87,1,0,6.091,0.1977,0.03
19,260,41,17.27,2.13,0,0,6.091,0.1977,0.03
19,261,40,8.27,-0.87,0,0,6.091,0.1977,0.03
19,262,45,21.27,3.63,0,0,6.091,0.1977,0.03
19,263,44,4.27,0.63,1,0,6.091,0.1977,0.03
19,264,35,19.27,0.13,0,1,6.091,0.1977,0.03
19,265,44,9.27,0.63,0,0,6.091,0.1977,0.03
19,266,47,17.27,2.13,0,0,6.091,0.1977,0.03
19,267,45,0.27,-0.37,0,0,6.091,0.1977,0.03
19,268,41,2.27,2.13,0,0,6.091,0.1977,0.03
19,270,49,13.27,0.13,1,0,6.091,0.1977,0.03
19,272,51,10.27,2.13,0,0,6.091,0.1977,0.03
19,273,51,4.27,2.13,0,0,6.091,0.1977,0.03
21,274,44,-5.73,0.13,0,0,-6.449,-0.0891,0
21,275,48,-7.73,2.63,0,0,-6.449,-0.0891,0
21,276,43,-9.73,1.13,1,0,-6.449,-0.0891,0
21,277,32,-9.73,-3.37,0,0,-6.449,-0.0891,0
21,278,17,-7.73,-0.37,0,0,-6.449,-0.0891,0
21,279,27,-7.73,-3.37,0,0,-6.449,-0.0891,0
21,280,55,0.27,1.13,0,0,-6.449,-0.0891,0
21,281,45,0.27,0.63,1,0,-6.449,-0.0891,0
21,282,36,-9.73,1.63,1,0,-6.449,-0.0891,0
21,283,24,-9.73,-3.87,0,0,-6.449,-0.0891,0
21,284,35,-9.73,-2.87,1,0,-6.449,-0.0891,0
21,285,43,-4.73,-0.37,0,0,-6.449,-0.0891,0
21,286,48,-4.73,1.13,1,0,-6.449,-0.0891,0
21,287,38,-4.73,2.63,1,0,-6.449,-0.0891,0
21,288,44,-7.73,0.13,0,0,-6.449,-0.0891,0
21,289,47,-9.73,0.13,0,0,-6.449,-0.0891,0
21,290,36,-4.73,1.63,0,0,-6.449,-0.0891,0
21,291,41,-2.73,-0.37,1,0,-6.449,-0.0891,0
23,292,36,0.27,0.13,0,0,-6.5,0.0897,0
23,293,44,-5.73,0.13,1,0,-6.5,0.0897,0
23,294,28,-10.73,-2.37,1,0,-6.5,0.0897,0
23,295,42,0.27,1.63,0,0,-6.5,0.0897,0
23,297,44,-10.73,-0.37,0,0,-6.5,0.0897,0
23,298,46,-6.73,0.13,1,0,-6.5,0.0897,0
23,299,24,-6.73,-2.37,1,0,-6.5,0.0897,0
23,300,45,-10.73,1.13,1,0,-6.5,0.0897,0
23,301,35,-10.73,-2.87,0,0,-6.5,0.0897,0
23,302,37,-1.73,-0.37,0,0,-6.5,0.0897,0
23,303,49,-12.73,2.63,1,0,-6.5,0.0897,0
23,304,49,-10.73,1.13,1,0,-6.5,0.0897,0
23,305,48,-1.73,0.63,0,0,-6.5,0.0897,0
23,306,40,0.27,0.63,1,0,-6.5,0.0897,0
23,307,33,-1.73,-1.87,1,0,-6.5,0.0897,0
23,308,45,-10.73,1.13,1,0,-6.5,0.0897,0
23,309,43,-10.73,-0.87,1,0,-6.5,0.0897,0
23,310,51,-10.73,1.13,1,0,-6.5,0.0897,0
23,311,48,-1.73,1.13,1,0,-6.5,0.0897,0
23,312,42,-8.73,0.13,1,0,-6.5,0.0897,0
23,313,52,0.27,-1.87,1,0,-6.5,0.0897,0
23,314,54,-10.73,1.63,1,0,-6.5,0.0897,0
24,316,41,-4.73,0.13,0,0,-4.807,0.0932,0
24,317,26,-7.73,-1.87,1,0,-4.807,0.0932,0
24,318,52,-7.73,2.13,1,0,-4.807,0.0932,0
24,319,43,-17.73,0.63,0,0,-4.807,0.0932,0
24,320,54,-7.73,1.13,0,0,-4.807,0.0932,0
24,321,49,2.27,-0.37,1,0,-4.807,0.0932,0
24,322,51,-7.73,3.63,0,0,-4.807,0.0932,0
24,323,47,-4.73,1.63,0,0,-4.807,0.0932,0
24,324,51,-10.73,0.13,1,0,-4.807,0.0932,0
24,325,51,-4.73,0.13,1,0,-4.807,0.0932,0
24,326,34,-7.73,-3.37,1,0,-4.807,0.0932,0
24,327,51,-4.73,-1.37,1,0,-4.807,0.0932,0
24,328,49,-4.73,-1.87,1,0,-4.807,0.0932,0
24,329,42,9.27,-2.87,1,0,-4.807,0.0932,0
24,330,50,-10.73,1.13,1,0,-4.807,0.0932,0
24,331,33,-10.73,-5.37,1,0,-4.807,0.0932,0
24,332,46,5.27,1.63,1,0,-4.807,0.0932,0
24,333,57,-7.73,4.63,0,0,-4.807,0.0932,0
24,334,35,2.27,-1.37,0,0,-4.807,0.0932,0
24,335,44,-0.73,1.63,0,0,-4.807,0.0932,0
24,336,36,-4.73,0.13,0,0,-4.807,0.0932,0
24,337,50,-4.73,0.63,0,0,-4.807,0.0932,0
24,338,38,-0.73,1.13,1,0,-4.807,0.0932,0
24,339,49,-0.73,0.13,1,0,-4.807,0.0932,0
25,340,32,-1.73,-0.37,1,0,-3.035,-1.2515,0
25,342,33,-10.73,-3.87,1,0,-3.035,-1.2515,0
25,343,48,-10.73,1.13,0,0,-3.035,-1.2515,0
25,344,34,-7.73,-3.87,1,0,-3.035,-1.2515,0
25,345,37,-7.73,-1.87,0,0,-3.035,-1.2515,0
25,346,37,-4.73,-3.37,0,0,-3.035,-1.2515,0
25,347,40,-10.73,-1.87,1,0,-3.035,-1.2515,0
25,348,41,15.27,-0.87,1,0,-3.035,-1.2515,0
25,349,40,-7.73,-0.37,0,0,-3.035,-1.2515,0
25,350,43,19.27,1.13,0,0,-3.035,-1.2515,0
25,351,45,-7.73,0.13,1,0,-3.035,-1.2515,0
25,352,44,-1.73,0.63,1,0,-3.035,-1.2515,0
26,353,39,9.27,1.63,0,0,4.694,0.5805,0
26,354,26,-7.73,-1.37,0,0,4.694,0.5805,0
26,355,48,7.27,0.13,0,0,4.694,0.5805,0
26,356,32,12.27,0.63,0,0,4.694,0.5805,0
26,357,46,5.27,1.13,0,0,4.694,0.5805,0
26,358,38,2.27,-1.87,0,0,4.694,0.5805,0
26,359,44,5.27,-0.87,0,0,4.694,0.5805,0
26,360,35,-10.73,-0.87,0,0,4.694,0.5805,0
26,361,40,-4.73,4.63,0,0,4.694,0.5805,0
26,362,40,9.27,1.13,0,0,4.694,0.5805,0
26,363,46,-7.73,-0.37,0,0,4.694,0.5805,0
26,364,31,-7.73,-1.87,1,0,4.694,0.5805,0
26,365,50,17.27,1.63,1,0,4.694,0.5805,0
26,366,46,12.27,1.63,1,0,4.694,0.5805,0
26,367,51,15.27,4.63,1,0,4.694,0.5805,0
26,368,29,0.27,-2.87,1,0,4.694,0.5805,0
26,369,39,5.27,0.13,1,0,4.694,0.5805,0
26,370,49,7.27,1.63,1,0,4.694,0.5805,0
26,371,43,19.27,2.13,1,0,4.694,0.5805,0
27,374,37,-4.73,-1.87,1,0,1.511,-0.3451,0
27,375,35,-4.73,-1.37,0,0,1.511,-0.3451,0
27,376,38,0.27,1.13,0,0,1.511,-0.3451,0
27,377,40,-4.73,1.13,1,0,1.511,-0.3451,0
27,378,42,19.27,2.13,0,0,1.511,-0.3451,0
27,379,41,12.27,2.63,0,0,1.511,-0.3451,0
27,380,32,12.27,0.13,0,0,1.511,-0.3451,0
27,381,40,-0.73,0.63,0,0,1.511,-0.3451,0
27,382,20,-4.73,-1.37,0,0,1.511,-0.3451,0
27,383,29,-0.73,-0.87,1,0,1.511,-0.3451,0
27,384,41,12.27,0.63,0,0,1.511,-0.3451,0
27,385,23,2.27,1.13,0,0,1.511,-0.3451,0
27,386,27,-4.73,-0.37,1,0,1.511,-0.3451,0
27,387,35,-0.73,-2.37,1,0,1.511,-0.3451,0
27,388,33,7.27,-0.37,0,0,1.511,-0.3451,0
27,389,31,-4.73,-2.37,1,0,1.511,-0.3451,0
27,390,29,12.27,0.13,0,0,1.511,-0.3451,0
27,391,31,-7.73,-1.87,1,0,1.511,-0.3451,0
27,392,40,-7.73,0.13,0,0,1.511,-0.3451,0
27,393,19,-7.73,-5.37,1,0,1.511,-0.3451,0
27,394,40,7.27,-0.87,1,0,1.511,-0.3451,0
28,395,46,-10.73,1.13,1,0,-3.977,-1.0168,0
28,396,36,-2.73,-2.37,1,0,-3.977,-1.0168,0
28,397,33,-2.73,-3.37,0,0,-3.977,-1.0168,0
28,398,37,-2.73,-1.37,1,0,-3.977,-1.0168,0
28,399,42,-6.73,0.13,1,0,-3.977,-1.0168,0
28,400,27,-8.73,-4.37,1,0,-3.977,-1.0168,0
28,401,37,-10.73,-2.37,0,0,-3.977,-1.0168,0
28,404,34,-8.73,-1.87,1,0,-3.977,-1.0168,0
28,405,21,9.27,-2.87,0,0,-3.977,-1.0168,0
28,406,39,9.27,0.13,1,0,-3.977,-1.0168,0
28,407,35,-0.73,0.63,1,0,-3.977,-1.0168,0
28,409,36,-8.73,-1.37,0,0,-3.977,-1.0168,0
28,410,41,-8.73,0.63,1,0,-3.977,-1.0168,0
28,411,32,4.27,-0.87,1,0,-3.977,-1.0168,0
28,412,44,5.27,0.63,0,0,-3.977,-1.0168,0
28,413,52,-7.73,1.63,0,0,-3.977,-1.0168,0
28,414,42,2.27,1.13,0,0,-3.977,-1.0168,0
29,416,51,17.27,6.13,0,0,15.545,1.815,0
29,417,51,19.27,4.13,0,0,15.545,1.815,0
29,418,35,22.27,0.13,0,0,15.545,1.815,0
29,419,50,22.27,-0.37,0,0,15.545,1.815,0
29,420,51,17.27,0.13,0,0,15.545,1.815,0
29,421,52,12.27,3.63,0,0,15.545,1.815,0
29,422,44,7.27,2.13,1,0,15.545,1.815,0
29,423,39,7.27,-5.87,1,0,15.545,1.815,0
29,424,41,7.27,0.63,1,0,15.545,1.815,0
29,425,51,17.27,4.63,1,0,15.545,1.815,0
30,426,40,-8.73,0.13,1,0,-1.527,0.8832,0
30,427,36,-8.73,-0.87,0,0,-1.527,0.8832,0
30,428,43,-8.73,-0.37,1,0,-1.527,0.8832,0
30,429,50,10.27,1.63,1,0,-1.527,0.8832,0
30,430,42,-8.73,0.63,1,0,-1.527,0.8832,0
30,431,54,4.27,2.13,1,0,-1.527,0.8832,0
30,432,54,-3.73,1.63,1,0,-1.527,0.8832,0
30,433,52,13.27,1.13,0,0,-1.527,0.8832,0
30,434,50,-8.73,1.13,0,0,-1.527,0.8832,0
30,435,55,4.27,1.63,1,0,-1.527,0.8832,0
31,436,22,-14.73,-2.87,1,0,2.573,0.0422,0
31,437,27,-0.73,-3.87,0,0,2.573,0.0422,0
31,438,33,-10.73,1.13,1,0,2.573,0.0422,0
31,439,31,6.27,-0.87,1,0,2.573,0.0422,0
31,440,37,-10.73,-0.37,1,0,2.573,0.0422,0
31,441,47,10.27,1.13,1,0,2.573,0.0422,0
31,442,47,19.27,1.13,1,0,2.573,0.0422,0
31,443,36,19.27,1.63,1,0,2.573,0.0422,0
31,445,45,8.27,1.63,0,0,2.573,0.0422,0
31,446,44,-0.73,1.63,0,0,2.573,0.0422,0
32,447,39,-4.73,-1.87,1,0,0.13,0.5141,0
32,448,35,-8.73,2.13,1,0,0.13,0.5141,0
32,449,39,-8.73,-0.37,0,0,0.13,0.5141,0
32,450,42,-1.73,2.13,0,0,0.13,0.5141,0
32,451,30,2.27,-0.37,0,0,0.13,0.5141,0
32,452,29,-7.73,0.13,0,0,0.13,0.5141,0
32,453,35,-4.73,-0.37,0,0,0.13,0.5141,0
32,454,26,6.27,-1.37,0,0,0.13,0.5141,0
32,455,38,-8.73,-0.87,0,0,0.13,0.5141,0
32,456,33,-8.73,0.13,1,0,0.13,0.5141,0
32,457,47,19.27,2.13,1,0,0.13,0.5141,0
32,458,36,-1.73,1.13,0,0,0.13,0.5141,0
32,459,48,8.27,0.63,1,0,0.13,0.5141,0
32,460,37,-6.73,-2.37,0,0,0.13,0.5141,0
32,461,38,8.27,0.13,1,0,0.13,0.5141,0
32,462,35,1.27,2.63,1,0,0.13,0.5141,0
32,463,45,-4.73,0.63,1,0,0.13,0.5141,0
32,464,45,-4.73,0.63,0,0,0.13,0.5141,0
32,465,50,1.27,2.63,0,0,0.13,0.5141,0
32,466,42,6.27,1.13,0,0,0.13,0.5141,0
32,467,51,21.27,2.13,0,0,0.13,0.5141,0
33,469,20,-12.73,0.13,0,0,-3.227,-0.4383,0
33,470,43,-7.73,-1.87,1,0,-3.227,-0.4383,0
33,471,31,9.27,-1.87,0,0,-3.227,-0.4383,0
33,472,42,-2.73,-0.87,0,0,-3.227,-0.4383,0
33,473,50,-4.73,1.13,0,0,-3.227,-0.4383,0
33,474,41,-0.73,0.13,1,0,-3.227,-0.4383,0
34,475,31,-12.73,-0.87,0,0,-4.602,0.3207,0
34,476,32,-10.73,-3.87,0,0,-4.602,0.3207,0
34,478,41,-14.73,0.13,1,0,-4.602,0.3207,0
34,479,45,-1.73,1.63,1,0,-4.602,0.3207,0
34,480,52,2.27,3.13,0,0,-4.602,0.3207,0
34,482,49,13.27,2.63,1,0,-4.602,0.3207,0
35,485,38,-7.73,-0.87,1,0,-6.665,-1.6481,0.312
35,486,52,-7.73,1.13,0,0,-6.665,-1.6481,0.312
35,487,34,-7.73,-1.37,0,0,-6.665,-1.6481,0.312
35,488,34,-9.73,-4.87,1,0,-6.665,-1.6481,0.312
35,489,54,2.27,1.13,0,0,-6.665,-1.6481,0.312
35,490,47,17.27,1.13,0,0,-6.665,-1.6481,0.312
35,491,25,-9.73,-0.87,0,0,-6.665,-1.6481,0.312
35,492,27,-14.73,-3.87,0,1,-6.665,-1.6481,0.312
35,493,35,-4.73,-3.87,1,0,-6.665,-1.6481,0.312
35,494,28,-9.73,0.13,0,0,-6.665,-1.6481,0.312
35,495,34,-17.73,-3.37,1,1,-6.665,-1.6481,0.312
35,496,42,-2.73,-2.37,0,0,-6.665,-1.6481,0.312
35,497,38,-2.73,-1.37,0,0,-6.665,-1.6481,0.312
35,498,51,2.27,3.63,0,1,-6.665,-1.6481,0.312
36,499,18,-1.73,-3.37,1,0,2.157,-0.3668,0
36,503,55,5.27,2.63,0,0,2.157,-0.3668,0
36,504,40,-7.73,0.13,0,0,2.157,-0.3668,0
36,505,49,2.27,0.13,0,0,2.157,-0.3668,0
36,506,37,7.27,1.13,1,0,2.157,-0.3668,0
36,507,31,-2.73,-2.37,0,0,2.157,-0.3668,0
36,508,31,2.27,0.13,0,0,2.157,-0.3668,0
36,509,28,2.27,-3.37,0,0,2.157,-0.3668,0
36,510,30,-7.73,-0.87,0,0,2.157,-0.3668,0
36,511,34,12.27,-2.37,1,0,2.157,-0.3668,0
36,512,42,12.27,0.63,0,0,2.157,-0.3668,0
36,513,29,2.27,-0.87,1,0,2.157,-0.3668,0
36,514,27,-7.73,0.13,0,0,2.157,-0.3668,0
36,515,32,5.27,1.13,1,0,2.157,-0.3668,0
36,516,22,2.27,-2.37,0,0,2.157,-0.3668,0
36,517,34,2.27,2.63,0,0,2.157,-0.3668,0
36,518,36,10.27,0.63,0,0,2.157,-0.3668,0
36,519,46,0.27,0.63,1,0,2.157,-0.3668,0
36,520,45,2.27,0.63,1,0,2.157,-0.3668,0
36,521,39,9.27,0.63,1,0,2.157,-0.3668,0
36,522,36,12.27,-0.87,1,0,2.157,-0.3668,0
36,523,33,2.27,-1.37,1,0,2.157,-0.3668,0
36,524,28,12.27,-0.87,0,0,2.157,-0.3668,0
36,525,35,-7.73,0.13,1,0,2.157,-0.3668,0
37,526,35,13.27,-1.87,1,0,4.204,0.3573,0
37,527,20,-9.73,-3.37,0,0,4.204,0.3573,0
37,528,39,6.27,1.13,1,0,4.204,0.3573,0
37,529,26,-13.73,-0.87,0,0,4.204,0.3573,0
37,530,35,-7.73,2.13,1,0,4.204,0.3573,0
37,531,41,-4.73,0.63,1,0,4.204,0.3573,0
37,532,36,-8.73,-1.87,0,0,4.204,0.3573,0
37,533,34,6.27,0.63,0,0,4.204,0.3573,0
37,534,38,-1.73,-2.87,1,0,4.204,0.3573,0
37,535,44,-9.73,0.63,1,0,4.204,0.3573,0
37,536,33,6.27,-0.87,0,0,4.204,0.3573,0
37,537,43,19.27,-0.37,1,0,4.204,0.3573,0
37,538,34,13.27,-0.37,0,0,4.204,0.3573,0
37,539,45,13.27,0.13,1,0,4.204,0.3573,0
37,540,37,13.27,1.63,0,0,4.204,0.3573,0
37,541,34,-1.73,1.13,0,0,4.204,0.3573,0
37,542,46,-1.73,-0.37,1,0,4.204,0.3573,0
37,543,40,-1.73,-0.87,0,0,4.204,0.3573,0
37,544,54,13.27,1.63,0,0,4.204,0.3573,0
37,545,44,-9.73,-0.37,1,0,4.204,0.3573,0
37,546,42,-9.73,-0.37,0,0,4.204,0.3573,0
37,547,58,18.27,3.63,1,0,4.204,0.3573,0
37,548,53,1.27,1.63,1,0,4.204,0.3573,0
37,549,52,15.27,1.13,1,0,4.204,0.3573,0
37,550,51,17.27,0.13,1,0,4.204,0.3573,0
37,551,55,6.27,0.63,1,0,4.204,0.3573,0
37,552,48,9.27,1.63,0,0,4.204,0.3573,0
37,553,52,13.27,2.63,0,0,4.204,0.3573,0
37,554,56,17.27,3.63,1,0,4.204,0.3573,0
38,558,42,22.27,-0.87,0,0,0.666,-0.3185,0
38,559,42,12.27,-1.87,1,0,0.666,-0.3185,0
38,560,34,-7.73,-2.37,1,0,0.666,-0.3185,0
